"මම


  "
ඔබ
ඔහු
ඇය
අපි
ඔවුහු
 මට
ඔබට
ඔහුට
ඇයට
අපට
ඔවුන්ට
මගේ
ඔබේ
ඔහුගේ
ඇගේ
අපේ
ඔවුන්ගේ
මෙතන
ඔතන
අතන
එතන
මෙයා
මෙයාලා 
මෙයාල           
ඔයා
ඔයාල
ඔයාලා
අරය
අරයල
අරයලා
එයා
එයාල
එයාලා
මේක
මේව
මේවා
ඕක
ඕව
ඕවා
අරව
අරක
අරවා  
ඒක        
ඒව 
ඒවා
mm
ob
ohu
aey
api
ovuhu
mtt
obtt
ohutt
aeytt
aptt
ovuntt
mgee
obee
ohugee
aegee
apee
ovungee
metn
otn
atn
etn
meyaal
meyaa
meyaalaa
oyaa
oyaal
oyaalaa
ary
aryl
arylaa
eyaa
eyaal
eyaalaa
meek
meev
meevaa
ook
oov
oovaaark
arv
arvaaeek
eev 
eevaa
eka
meka
araka
arava
arawa
mewa
meva
ekei
mekei
arakei
athana
methana
ethana
eke
meke
arake
arahe
mehe
arahei
mehei
e
me
mama
ma
maa
eyaata
ehaata
eyata
ehata
meyata
meyaata
arayata
ohuta
mohuta
ayata
mehaata
mehata
eheta
meheta
meke
meka
