Model	Accuracy	F1-score	Recall	Precision	AUC
LR	0.824742	0.628009	0.475166	0.925806	0.728975
SVM_linear	0.855670	0.732824	0.635762	0.864865	0.795426
SVM_rbf	0.826804	0.636364	0.486755	0.918750	0.733647
NB	0.679897	0.436990	0.399007	0.482966	0.602946
RF	0.853093	0.718101	0.600993	0.891892	0.784030
