Model	Accuracy	F1-score	Recall	Precision	AUC
LR	0.813402	0.611588	0.471854	0.868902	0.719834
SVM	0.837113	0.710623	0.642384	0.795082	0.783767
NB	0.596392	0.481800	0.602649	0.401323	0.598106
RF	0.837113	0.681452	0.559603	0.871134	0.761089
