Model	Accuracy	F1-score	Recall	Precision	AUC
LR+W2V skipgram	0.711489	0.265092	0.167219	0.639241	0.562293
SVC linear+W2V skipgram	0.700155	0.093458	0.049669	0.789474	0.521843
NB+W2V skipgram	0.497682	0.502297	0.814570	0.363100	0.584547
RF+W2V skipgram	0.717671	0.267380	0.165563	0.694444	0.566327
LR+W2V CBOW	0.718187	0.346476	0.240066	0.622318	0.587124
SVC linear+W2V CBOW	0.704276	0.140719	0.077815	0.734375	0.532550
NB+W2V CBOW	0.487378	0.488957	0.788079	0.354430	0.569806
RF+W2V CBOW	0.719732	0.284211	0.178808	0.692308	0.571453
