Model	Accuracy	F1-score	Recall	Precision	AUC
LR	0.845876	0.737027	0.693709	0.786116	0.804190
SVM_linear	0.822165	0.710813	0.701987	0.719864	0.789242
SVM_rbf	0.812371	0.588235	0.430464	0.928571	0.707747
NB	0.688660	0.464539	0.433775	0.500000	0.618834
RF	0.853093	0.727273	0.629139	0.861678	0.791740
