Model	Accuracy	F1-score	Recall	Precision	AUC
LR+W2V skipgram	0.705882	0.745917	0.792671	0.704370	0.697374
SVC linear+W2V skipgram	0.704307	0.746053	0.797493	0.700847	0.695171
NB+W2V skipgram	0.615546	0.694491	0.802314	0.612215	0.597236
RF+W2V skipgram	0.717962	0.741951	0.744455	0.739464	0.715365
LR+W2V CBOW	0.705357	0.738705	0.764706	0.714414	0.699539
SVC linear+W2V CBOW	0.704832	0.743379	0.784957	0.705984	0.696977
NB+W2V CBOW	0.624475	0.699958	0.804243	0.619614	0.606850
RF+W2V CBOW	0.727941	0.750241	0.750241	0.750241	0.725755
